Date,Q
2017-01-01,794.25
2017-01-02,793.09
2017-01-03,795.56
2017-01-04,828.09
2017-01-05,794.91
2017-01-06,740.12
2017-01-07,813.31
2017-01-08,789.32
2017-01-09,791.34
2017-01-10,804.66
2017-01-11,809.32
2017-01-12,846.57
2017-01-13,826.30
2017-01-14,804.45
2017-01-15,770.50
2017-01-16,759.45
2017-01-17,809.90
2017-01-18,852.50
2017-01-19,801.72
2017-01-20,795.81
2017-01-21,821.34
2017-01-22,741.93
2017-01-23,787.59
2017-01-24,819.71
2017-01-25,835.04
2017-01-26,790.49
2017-01-27,815.19
2017-01-28,810.07
2017-01-29,831.45
2017-01-30,755.63
2017-01-31,822.92
2017-02-01,739.61
2017-02-02,695.40
2017-02-03,775.96
2017-02-04,763.63
2017-02-05,835.35
2017-02-06,826.91
2017-02-07,751.57
2017-02-08,834.30
2017-02-09,760.32
2017-02-10,797.02
2017-02-11,788.75
2017-02-12,805.15
2017-02-13,833.39
2017-02-14,826.24
2017-02-15,814.75
2017-02-16,826.83
2017-02-17,820.05
2017-02-18,775.86
2017-02-19,772.32
2017-02-20,782.33
2017-02-21,821.26
2017-02-22,791.35
2017-02-23,895.10
2017-02-24,768.79
2017-02-25,757.72
2017-02-26,832.75
2017-02-27,859.13
2017-02-28,822.57
2017-03-01,836.02
2017-03-02,859.95
2017-03-03,799.16
2017-03-04,746.05
2017-03-05,782.09
2017-03-06,842.06
2017-03-07,746.04
2017-03-08,805.77
2017-03-09,814.99
2017-03-10,792.49
2017-03-11,834.78
2017-03-12,829.50
2017-03-13,900.22
2017-03-14,832.15
2017-03-15,783.10
2017-03-16,785.63
2017-03-17,775.37
2017-03-18,848.28
2017-03-19,787.53
2017-03-20,808.48
2017-03-21,842.65
2017-03-22,783.76
2017-03-23,802.25
2017-03-24,740.24
2017-03-25,772.29
2017-03-26,794.53
2017-03-27,836.11
2017-03-28,869.49
2017-03-29,821.31
2017-03-30,834.49
2017-03-31,832.41
2017-04-01,872.24
2017-04-02,866.42
2017-04-03,842.89
2017-04-04,791.65
2017-04-05,874.01
2017-04-06,854.81
2017-04-07,893.22
2017-04-08,843.27
2017-04-09,930.45
2017-04-10,835.73
2017-04-11,922.61
2017-04-12,863.25
2017-04-13,840.05
2017-04-14,817.66
2017-04-15,864.48
2017-04-16,938.17
2017-04-17,916.86
2017-04-18,916.80
2017-04-19,786.01
2017-04-20,929.92
2017-04-21,929.51
2017-04-22,886.07
2017-04-23,889.45
2017-04-24,925.69
2017-04-25,1014.30
2017-04-26,892.48
2017-04-27,930.73
2017-04-28,1025.84
2017-04-29,948.69
2017-04-30,962.90
2017-05-01,996.59
2017-05-02,941.04
2017-05-03,1026.65
2017-05-04,966.10
2017-05-05,1087.87
2017-05-06,1056.10
2017-05-07,1193.07
2017-05-08,1101.71
2017-05-09,1178.17
2017-05-10,1047.10
2017-05-11,1131.20
2017-05-12,1175.78
2017-05-13,1279.66
2017-05-14,1097.05
2017-05-15,1279.87
2017-05-16,1278.97
2017-05-17,1363.13
2017-05-18,1336.93
2017-05-19,1320.39
2017-05-20,1309.08
2017-05-21,1286.84
2017-05-22,1415.80
2017-05-23,1419.23
2017-05-24,1613.15
2017-05-25,1452.90
2017-05-26,1558.17
2017-05-27,1446.80
2017-05-28,1576.00
2017-05-29,1668.63
2017-05-30,1757.56
2017-05-31,1855.80
2017-06-01,1770.71
2017-06-02,1718.73
2017-06-03,1910.70
2017-06-04,1966.76
2017-06-05,2016.65
2017-06-06,1950.40
2017-06-07,2193.59
2017-06-08,2142.00
2017-06-09,2267.94
2017-06-10,2395.35
2017-06-11,2385.05
2017-06-12,2413.34
2017-06-13,2709.35
2017-06-14,2545.62
2017-06-15,2547.79
2017-06-16,2674.22
2017-06-17,2937.57
2017-06-18,2829.24
2017-06-19,2967.66
2017-06-20,3152.69
