Date,Q
2017-01-01,3527.227
2017-01-02,3556.666
2017-01-03,3587.725
2017-01-04,3633.541
2017-01-05,3646.134
2017-01-06,3647.477
2017-01-07,3712.286
2017-01-08,3727.917
2017-01-09,3755.897
2017-01-10,3788.820
2017-01-11,3816.667
2017-01-12,3860.029
2017-01-13,3873.822
2017-01-14,3886.015
2017-01-15,3891.334
2017-01-16,3907.292
2017-01-17,3953.205
2017-01-18,3994.429
2017-01-19,3988.244
2017-01-20,4003.809
2017-01-21,4034.471
2017-01-22,4012.101
2017-01-23,4051.769
2017-01-24,4084.242
2017-01-25,4107.977
2017-01-26,4101.504
2017-01-27,4129.470
2017-01-28,4142.419
2017-01-29,4168.593
2017-01-30,4146.226
2017-01-31,4195.525
2017-02-01,4169.734
2017-02-02,4163.747
2017-02-03,4220.445
2017-02-04,4231.066
2017-02-05,4284.104
2017-02-06,4297.506
2017-02-07,4277.930
2017-02-08,4337.817
2017-02-09,4319.850
2017-02-10,4357.651
2017-02-11,4373.418
2017-02-12,4401.910
2017-02-13,4436.688
2017-02-14,4454.095
2017-02-15,4469.595
2017-02-16,4497.061
2017-02-17,4515.217
2017-02-18,4514.735
2017-02-19,4534.513
2017-02-20,4560.917
2017-02-21,4601.540
2017-02-22,4607.477
2017-02-23,4679.717
2017-02-24,4636.645
2017-02-25,4650.501
2017-02-26,4706.630
2017-02-27,4737.734
2017-02-28,4736.629
2017-03-01,4759.563
2017-03-02,4786.760
2017-03-03,4770.745
2017-03-04,4757.522
2017-03-05,4787.629
2017-03-06,4828.530
2017-03-07,4790.701
2017-03-08,4829.250
2017-03-09,4841.563
2017-03-10,4837.038
2017-03-11,4863.641
2017-03-12,4865.609
2017-03-13,4904.302
2017-03-14,4873.268
2017-03-15,4850.854
2017-03-16,4853.231
2017-03-17,4848.588
2017-03-18,4884.425
2017-03-19,4853.695
2017-03-20,4862.856
2017-03-21,4878.139
2017-03-22,4847.324
2017-03-23,4854.390
2017-03-24,4821.818
2017-03-25,4835.359
2017-03-26,4844.072
2017-03-27,4862.278
2017-03-28,4876.540
2017-03-29,4851.226
2017-03-30,4856.004
2017-03-31,4853.601
2017-04-01,4871.705
2017-04-02,4867.954
2017-04-03,4855.946
2017-04-04,4830.933
2017-04-05,4870.170
2017-04-06,4860.912
2017-04-07,4879.216
2017-04-08,4855.609
2017-04-09,4896.885
2017-04-10,4852.282
2017-04-11,4892.905
2017-04-12,4864.802
2017-04-13,4853.418
2017-04-14,4842.125
2017-04-15,4862.243
2017-04-16,4893.835
2017-04-17,4881.250
2017-04-18,4877.621
2017-04-19,4814.536
2017-04-20,4873.697
2017-04-21,4867.165
2017-04-22,4840.703
2017-04-23,4833.839
2017-04-24,4840.009
2017-04-25,4867.171
2017-04-26,4803.112
2017-04-27,4806.105
2017-04-28,4831.244
2017-04-29,4783.338
2017-04-30,4772.150
2017-05-01,4767.512
2017-05-02,4725.836
2017-05-03,4739.194
2017-05-04,4693.820
2017-05-05,4718.081
2017-05-06,4682.022
2017-05-07,4708.501
2017-05-08,4648.700
2017-05-09,4650.110
2017-05-10,4575.996
2017-05-11,4578.526
2017-05-12,4566.073
2017-05-13,4572.993
2017-05-14,4482.842
2017-05-15,4514.656
2017-05-16,4485.137
2017-05-17,4482.604
2017-05-18,4445.032
2017-05-19,4410.967
2017-05-20,4378.977
2017-05-21,4344.319
2017-05-22,4353.488
2017-05-23,4326.490
2017-05-24,4351.938
2017-05-25,4280.988
2017-05-26,4281.754
2017-05-27,4226.550
2017-05-28,4233.025
2017-05-29,4229.545
2017-05-30,4224.528
2017-05-31,4221.026
2017-06-01,4175.422
2017-06-02,4138.362
2017-06-03,4154.356
2017-06-04,4140.044
2017-06-05,4123.978
2017-06-06,4084.435
2017-06-07,4105.177
2017-06-08,4068.030
2017-06-09,4063.647
2017-06-10,4058.051
2017-06-11,4027.145
2017-06-12,4002.485
2017-06-13,4020.953
2017-06-14,3963.210
2017-06-15,3932.110
2017-06-16,3919.183
2017-06-17,3924.710
2017-06-18,3874.724
2017-06-19,3859.213
2017-06-20,3848.403
2017-06-21,3789.100
2017-06-22,3738.929
2017-06-23,3752.823
2017-06-24,3724.125
2017-06-25,3679.442
2017-06-26,3680.537
2017-06-27,3646.296
2017-06-28,3584.867
2017-06-29,3585.431
2017-06-30,3541.212
2017-07-01,3485.400
2017-07-02,3493.999
2017-07-03,3453.962
2017-07-04,3410.028
2017-07-05,3405.693
2017-07-06,3375.618
2017-07-07,3325.334
2017-07-08,3316.405
2017-07-09,3300.771
2017-07-10,3238.912
2017-07-11,3234.158
2017-07-12,3200.698
2017-07-13,3220.832
2017-07-14,3113.929
2017-07-15,3141.556
2017-07-16,3098.820
2017-07-17,3081.053
2017-07-18,3100.002
2017-07-19,3041.492
2017-07-20,3066.922
2017-07-21,2994.402
2017-07-22,2992.051
2017-07-23,2957.613
2017-07-24,2936.535
2017-07-25,2934.977
2017-07-26,2911.839
2017-07-27,2905.609
2017-07-28,2843.754
2017-07-29,2910.345
2017-07-30,2851.461
2017-07-31,2874.151
2017-08-01,2803.553
2017-08-02,2813.787
2017-08-03,2855.250
2017-08-04,2758.284
2017-08-05,2729.160
2017-08-06,2731.139
2017-08-07,2734.103
2017-08-08,2720.658
2017-08-09,2714.275
2017-08-10,2664.536
2017-08-11,2618.376
2017-08-12,2622.016
2017-08-13,2635.394
2017-08-14,2599.388
2017-08-15,2530.077
2017-08-16,2547.366
2017-08-17,2554.654
2017-08-18,2547.687
2017-08-19,2494.773
2017-08-20,2468.108
2017-08-21,2415.585
2017-08-22,2402.167
2017-08-23,2398.877
2017-08-24,2387.268
2017-08-25,2368.520
2017-08-26,2327.603
2017-08-27,2295.003
2017-08-28,2284.067
2017-08-29,2258.848
2017-08-30,2278.073
2017-08-31,2203.093
2017-09-01,2227.778
2017-09-02,2229.562
2017-09-03,2238.179
2017-09-04,2197.418
2017-09-05,2205.365
2017-09-06,2167.806
2017-09-07,2152.438
2017-09-08,2146.457
2017-09-09,2184.160
2017-09-10,2168.182
2017-09-11,2153.700
2017-09-12,2207.128
2017-09-13,2137.300
2017-09-14,2148.563
2017-09-15,2141.230
2017-09-16,2130.194
2017-09-17,2181.060
2017-09-18,2165.438
2017-09-19,2108.267
2017-09-20,2129.504
2017-09-21,2147.522
2017-09-22,2156.204
2017-09-23,2115.208
2017-09-24,2098.682
2017-09-25,2107.196
2017-09-26,2145.286
2017-09-27,2145.833
2017-09-28,2155.753
2017-09-29,2134.134
2017-09-30,2125.428
2017-10-01,2109.529
2017-10-02,2156.342
2017-10-03,2156.625
2017-10-04,2168.265
2017-10-05,2163.146
2017-10-06,2142.223
2017-10-07,2171.558
2017-10-08,2140.264
2017-10-09,2128.140
2017-10-10,2129.325
2017-10-11,2126.511
2017-10-12,2093.532
2017-10-13,2138.866
2017-10-14,2139.966
2017-10-15,2127.375
2017-10-16,2120.504
2017-10-17,2142.969
2017-10-18,2171.295
2017-10-19,2139.897
2017-10-20,2131.974
2017-10-21,2134.178
2017-10-22,2149.436
2017-10-23,2131.354
2017-10-24,2160.997
2017-10-25,2172.644
2017-10-26,2217.319
2017-10-27,2209.398
2017-10-28,2222.410
2017-10-29,2199.760
2017-10-30,2240.773
2017-10-31,2218.979
2017-11-01,2263.393
2017-11-02,2281.860
2017-11-03,2275.375
2017-11-04,2348.727
2017-11-05,2338.869
2017-11-06,2308.915
2017-11-07,2378.056
2017-11-08,2379.373
2017-11-09,2408.474
2017-11-10,2438.998
2017-11-11,2458.950
2017-11-12,2431.942
2017-11-13,2471.186
2017-11-14,2531.391
2017-11-15,2563.427
2017-11-16,2596.737
2017-11-17,2615.748
2017-11-18,2559.267
2017-11-19,2636.094
2017-11-20,2602.298
2017-11-21,2692.378
2017-11-22,2684.197
2017-11-23,2674.865
2017-11-24,2755.978
2017-11-25,2746.295
2017-11-26,2712.795
2017-11-27,2773.287
2017-11-28,2769.231
2017-11-29,2802.202
2017-11-30,2806.536
2017-12-01,2858.979
2017-12-02,2818.588
2017-12-03,2868.893
2017-12-04,2914.346
2017-12-05,2877.145
2017-12-06,2913.705
2017-12-07,2929.606
2017-12-08,2928.192
2017-12-09,2971.786
2017-12-10,2978.106
2017-12-11,2975.189
2017-12-12,3047.829
2017-12-13,3047.625
2017-12-14,3048.380
2017-12-15,3059.681
2017-12-16,3078.212
2017-12-17,3140.814
2017-12-18,3136.381
2017-12-19,3172.431
2017-12-20,3184.290
2017-12-21,3225.826
2017-12-22,3237.445
2017-12-23,3282.013
2017-12-24,3290.696
2017-12-25,3339.168
2017-12-26,3364.762
2017-12-27,3378.167
2017-12-28,3392.853
2017-12-29,3421.074
2017-12-30,3455.076
2017-12-31,3480.310
