# ============================================================================
# C-GEM Calibration Targets: Mekong Delta - Full 3-Stage Calibration
# ============================================================================
# Stage 1: Hydrodynamics (tidal range, salinity intrusion)
# Stage 2: Sediment (SPM profiles, ETM location)
# Stage 3: Biogeochemistry (nutrients, oxygen, carbon)
#
# Format: BranchName, Variable, Statistic, TargetValue, Weight, Threshold
# ============================================================================

BranchName,Variable,Statistic,TargetValue,Weight,Threshold

# =============================================================================
# STAGE 1: HYDRODYNAMICS
# =============================================================================

# TIDAL RANGE [m] at mouth
# Literature: Nguyen & Savenije (2006) - 2.5-3.5 m spring tide
# TargetValue = location [km], Threshold = expected tidal range [m]
Hau_River,WATERLEVEL,TIDAL_RANGE,5.0,50.0,3.0
My_Tho,WATERLEVEL,TIDAL_RANGE,5.0,50.0,2.8
Ham_Luong,WATERLEVEL,TIDAL_RANGE,5.0,50.0,3.2
Co_Chien,WATERLEVEL,TIDAL_RANGE,5.0,50.0,2.6

# SALT INTRUSION LENGTH (4 PSU isohaline) [km]
# Literature: Nguyen et al. (2008) - dry season 40-60 km
# TargetValue = expected intrusion length [km], Threshold = salinity [PSU]
Hau_River,SALINITY,INTRUSION_LEN,55.0,100.0,4.0
My_Tho,SALINITY,INTRUSION_LEN,50.0,100.0,4.0
Ham_Luong,SALINITY,INTRUSION_LEN,60.0,100.0,4.0
Co_Chien,SALINITY,INTRUSION_LEN,45.0,100.0,4.0

# MEAN SALINITY over branch [PSU]
# These constrain the overall salt profile shape
Ham_Luong,SALINITY,MEAN,15.0,50.0,0.0
My_Tho,SALINITY,MEAN,12.0,50.0,0.0
Hau_River,SALINITY,MEAN,12.0,50.0,0.0
Co_Chien,SALINITY,MEAN,10.0,50.0,0.0

# VAM NAO VELOCITY [m/s]
# Literature: Fujii et al. (2003) - 0.2-0.5 m/s toward Hau
Vam_Nao,VELOCITY,MEAN,0.35,50.0,0.0

# =============================================================================
# STAGE 2: SEDIMENT TRANSPORT
# =============================================================================

# ESTUARINE TURBIDITY MAXIMUM (ETM) location [km]
# Literature: Wolanski et al. (1996) - ETM at 20-40 km from mouth
Ham_Luong,SPM,ETM_LOCATION,35.0,50.0,0.0
Hau_River,SPM,ETM_LOCATION,30.0,50.0,0.0
My_Tho,SPM,ETM_LOCATION,25.0,50.0,0.0
Co_Chien,SPM,ETM_LOCATION,30.0,50.0,0.0

# MEAN SPM [mg/L] - typical dry season values
# Literature: Wolanski et al. (1996), McLachlan et al. (2017)
Ham_Luong,SPM,MEAN,50.0,30.0,0.0
Hau_River,SPM,MEAN,45.0,30.0,0.0
My_Tho,SPM,MEAN,40.0,30.0,0.0
Co_Chien,SPM,MEAN,35.0,30.0,0.0

# MAX SPM at ETM [mg/L]
Ham_Luong,SPM,MAX,150.0,20.0,0.0
Hau_River,SPM,MAX,120.0,20.0,0.0

# =============================================================================
# STAGE 3: BIOGEOCHEMISTRY
# =============================================================================

# DISSOLVED OXYGEN [µM] - should be near saturation in estuary
# Literature: McLachlan et al. (2020) - 180-250 µM
Ham_Luong,O2,MEAN,200.0,30.0,0.0
Hau_River,O2,MEAN,210.0,30.0,0.0
My_Tho,O2,MEAN,195.0,30.0,0.0
Co_Chien,O2,MEAN,205.0,30.0,0.0

# NITRATE [µM] - decreasing from river to ocean
# Literature: Nguyen et al. (2019) - 20-80 µM upstream, 2-10 µM at mouth
Ham_Luong,NO3,MEAN,25.0,20.0,0.0
Hau_River,NO3,MEAN,30.0,20.0,0.0
Tien_Main,NO3,MEAN,50.0,20.0,0.0
Hau_Main,NO3,MEAN,45.0,20.0,0.0

# AMMONIUM [µM] - elevated in productive zones
# Literature: typical tropical estuary 1-10 µM
Ham_Luong,NH4,MEAN,5.0,20.0,0.0
Hau_River,NH4,MEAN,4.0,20.0,0.0

# PHOSPHATE [µM] - 0.5-3 µM typical
Ham_Luong,PO4,MEAN,1.5,20.0,0.0
Hau_River,PO4,MEAN,1.2,20.0,0.0

# PHYTOPLANKTON [µM C] - Chl-a equivalent ~2-10 µg/L
# Using C:Chl ratio of 40-50, this is ~5-25 µM C
Ham_Luong,PHY1,MEAN,8.0,15.0,0.0
Hau_River,PHY1,MEAN,6.0,15.0,0.0
Ham_Luong,PHY2,MEAN,4.0,15.0,0.0
Hau_River,PHY2,MEAN,3.0,15.0,0.0

# pCO2 [µatm] - supersaturated in tropical estuaries
# Literature: Borges et al. (2018) - 500-2000 µatm
Ham_Luong,PCO2,MEAN,800.0,20.0,0.0
Hau_River,PCO2,MEAN,700.0,20.0,0.0

# DIC [µM] - mixing between river (~1500) and ocean (~2000)
Ham_Luong,DIC,MEAN,1800.0,15.0,0.0
Hau_River,DIC,MEAN,1850.0,15.0,0.0
