Day,Day_of_Year,Month,Season,Q_Factor,NH4_Factor,NO3_Factor,PO4_Factor,TOC_Factor,SPM_Factor
0,0,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
1,1,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
2,2,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
3,3,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
4,4,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
5,5,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
6,6,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
7,7,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
8,8,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
9,9,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
10,10,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
11,11,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
12,12,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
13,13,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
14,14,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
15,15,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
16,16,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
17,17,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
18,18,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
19,19,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
20,20,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
21,21,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
22,22,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
23,23,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
24,24,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
25,25,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
26,26,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
27,27,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
28,28,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
29,29,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
30,30,1,dry,1.0,1.0,0.8,1.2,1.3,1.5
31,31,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
32,32,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
33,33,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
34,34,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
35,35,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
36,36,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
37,37,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
38,38,2,dry,1.0,1.0,0.8,1.2,1.3,1.5
