Day,Month,Flow_Multiplier
0,1,1.0
1,1,1.0
2,1,1.0
3,1,1.0
4,1,1.0
5,1,1.0
6,1,1.0
7,1,1.0
8,1,1.0
9,1,1.0
10,1,1.0
11,1,1.0
12,1,1.0
13,1,1.0
14,1,1.0
15,1,1.0
16,1,1.0
17,1,1.0
18,1,1.0
19,1,1.0
20,1,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,1,1.0
25,1,1.0
26,1,1.0
27,1,1.0
28,1,1.0
29,1,1.0
30,2,1.0
31,2,1.0
32,2,1.0
33,2,1.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,2,1.0
39,2,1.0
40,2,1.0
41,2,1.0
42,2,1.0
43,2,1.0
44,2,1.0
45,2,1.0
46,2,1.0
47,2,1.0
48,2,1.0
49,2,1.0
50,2,1.0
51,2,1.0
52,2,1.0
53,2,1.0
54,2,1.0
55,2,1.0
56,2,1.0
57,2,1.0
58,2,1.0
59,2,1.0
60,3,1.2
61,3,1.2
62,3,1.2
63,3,1.2
64,3,1.2
65,3,1.2
66,3,1.2
67,3,1.2
68,3,1.2
69,3,1.2
70,3,1.2
71,3,1.2
72,3,1.2
73,3,1.2
74,3,1.2
75,3,1.2
76,3,1.2
77,3,1.2
78,3,1.2
79,3,1.2
80,3,1.2
81,3,1.2
82,3,1.2
83,3,1.2
84,3,1.2
85,3,1.2
86,3,1.2
87,3,1.2
88,3,1.2
89,3,1.2
90,4,2.0
91,4,2.0
92,4,2.0
93,4,2.0
94,4,2.0
95,4,2.0
96,4,2.0
97,4,2.0
98,4,2.0
99,4,2.0
100,4,2.0
101,4,2.0
102,4,2.0
103,4,2.0
104,4,2.0
105,4,2.0
106,4,2.0
107,4,2.0
108,4,2.0
109,4,2.0
110,4,2.0
111,4,2.0
112,4,2.0
113,4,2.0
114,4,2.0
115,4,2.0
116,4,2.0
117,4,2.0
118,4,2.0
119,4,2.0
120,5,4.0
121,5,4.0
122,5,4.0
123,5,4.0
124,5,4.0
125,5,4.0
126,5,4.0
127,5,4.0
128,5,4.0
129,5,4.0
130,5,4.0
131,5,4.0
132,5,4.0
133,5,4.0
134,5,4.0
135,5,4.0
136,5,4.0
137,5,4.0
138,5,4.0
139,5,4.0
140,5,4.0
141,5,4.0
142,5,4.0
143,5,4.0
144,5,4.0
145,5,4.0
146,5,4.0
147,5,4.0
148,5,4.0
149,5,4.0
150,6,8.0
151,6,8.0
152,6,8.0
153,6,8.0
154,6,8.0
155,6,8.0
156,6,8.0
157,6,8.0
158,6,8.0
159,6,8.0
160,6,8.0
161,6,8.0
162,6,8.0
163,6,8.0
164,6,8.0
165,6,8.0
166,6,8.0
167,6,8.0
168,6,8.0
169,6,8.0
170,6,8.0
171,6,8.0
172,6,8.0
173,6,8.0
174,6,8.0
175,6,8.0
176,6,8.0
177,6,8.0
178,6,8.0
179,6,8.0
180,7,10.0
181,7,10.0
182,7,10.0
183,7,10.0
184,7,10.0
185,7,10.0
186,7,10.0
187,7,10.0
188,7,10.0
189,7,10.0
190,7,10.0
191,7,10.0
192,7,10.0
193,7,10.0
194,7,10.0
195,7,10.0
196,7,10.0
197,7,10.0
198,7,10.0
199,7,10.0
200,7,10.0
201,7,10.0
202,7,10.0
203,7,10.0
204,7,10.0
205,7,10.0
206,7,10.0
207,7,10.0
208,7,10.0
209,7,10.0
210,8,10.0
211,8,10.0
212,8,10.0
213,8,10.0
214,8,10.0
215,8,10.0
216,8,10.0
217,8,10.0
218,8,10.0
219,8,10.0
220,8,10.0
221,8,10.0
222,8,10.0
223,8,10.0
224,8,10.0
225,8,10.0
226,8,10.0
227,8,10.0
228,8,10.0
229,8,10.0
230,8,10.0
231,8,10.0
232,8,10.0
233,8,10.0
234,8,10.0
235,8,10.0
236,8,10.0
237,8,10.0
238,8,10.0
239,8,10.0
240,9,9.0
241,9,9.0
242,9,9.0
243,9,9.0
