Month,Month_Name,Season,Flow_Multiplier,Total_Q_m3_day,Total_NH4_kg_day,Total_NO3_kg_day,Total_TOC_kg_day
1,Jan,dry,1.0,80524.80000000003,16128.405201916492,8081.861738535249,85084.18891170432
2,Feb,dry,1.0,80524.80000000003,16128.405201916492,8081.861738535249,85084.18891170432
3,Mar,dry,1.2,96629.75999999998,19354.0862422998,9698.2340862423,102101.0266940452
4,Apr,dry,2.0,161049.60000000006,32256.810403832984,16163.723477070498,170168.37782340863
5,May,dry,4.0,322099.2000000001,64513.62080766597,32327.446954140996,340336.75564681727
6,Jun,wet,8.0,644198.4000000003,129027.24161533194,64654.89390828199,680673.5112936345
7,Jul,wet,10.0,805248.0,161284.052019165,80818.61738535251,850841.8891170431
8,Aug,wet,10.0,805248.0,161284.052019165,80818.61738535251,850841.8891170431
9,Sep,wet,9.0,724723.2000000003,145155.64681724843,72736.75564681727,765757.700205339
10,Oct,wet,6.0,483148.80000000005,96770.43121149897,48491.170431211496,510505.1334702259
11,Nov,transition,3.0,241574.40000000002,48385.21560574949,24245.585215605748,255252.56673511295
12,Dec,dry,1.5,120787.20000000001,24192.607802874743,12122.792607802874,127626.28336755648
