time_s,salinity,phy1,phy2,dsi,no3,nh4,po4,o2,toc,spm,dic,at,pco2,co2,ph,hs
0,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
86400,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
172800,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
259200,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
345600,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
432000,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
518400,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
604800,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
691200,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
777600,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
864000,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
950400,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
1036800,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
1123200,32.0,5.0,3.0,5.0,2.0,0.5,0.2,210.0,100.0,10.0,2100.0,2350.0,0.0,0.0,8.1,0.1
