# Ocean boundary conditions - REVISED based on carbonate equilibrium consistency
# Observed at ocean: pH~8.1, pCO2~450-520, TA~2200-2260 umol/L
# For consistency: DIC~1900-2000 gives correct pCO2 with observed TA
#
# CRITICAL: DIC/TA ratio must be ~0.86-0.88 for pH~8.1
# Using DIC=1900, TA=2200 gives pCO2~350-400 (slightly supersaturated)
# Using DIC=1950, TA=2200 gives pCO2~450-500 (matches observations better)
#
# NO3 = 50-60 umol/L from validation data (high due to coastal upwelling)
# O2 = 255-265 umol/L (near saturation)
time_s,salinity,phy1,phy2,dsi,no3,nh4,po4,o2,toc,spm,dic,at,pco2,co2,ph,hs,n2o,ch4
0.0,30.5,0.1,0.05,14.0,55.0,0.7,0.5,260.0,150.0,25.0,1950.0,2200.0,450.0,0.0,8.10,0.0,0.008,0.040
86400.0,30.8,0.12,0.04,13.5,52.0,0.8,0.6,258.0,155.0,22.0,1960.0,2210.0,460.0,0.0,8.09,0.0,0.0075,0.042
172800.0,31.0,0.08,0.06,14.5,58.0,0.6,0.4,262.0,145.0,20.0,1940.0,2190.0,440.0,0.0,8.11,0.0,0.0080,0.038
259200.0,30.2,0.14,0.05,15.0,50.0,0.9,0.5,255.0,160.0,28.0,1970.0,2220.0,470.0,0.0,8.08,0.0,0.0085,0.045
345600.0,30.7,0.07,0.04,12.5,60.0,0.5,0.4,265.0,140.0,18.0,1930.0,2180.0,430.0,0.0,8.12,0.0,0.0070,0.035
432000.0,30.5,0.1,0.05,14.0,55.0,0.7,0.5,260.0,150.0,25.0,1950.0,2200.0,450.0,0.0,8.10,0.0,0.008,0.040
518400.0,30.8,0.12,0.04,13.5,52.0,0.8,0.6,258.0,155.0,22.0,1960.0,2210.0,460.0,0.0,8.09,0.0,0.0075,0.042
604800.0,31.0,0.08,0.06,14.5,58.0,0.6,0.4,262.0,145.0,20.0,1940.0,2190.0,440.0,0.0,8.11,0.0,0.0080,0.038
691200.0,30.2,0.14,0.05,15.0,50.0,0.9,0.5,255.0,160.0,28.0,1970.0,2220.0,470.0,0.0,8.08,0.0,0.0085,0.045
777600.0,30.7,0.07,0.04,12.5,60.0,0.5,0.4,265.0,140.0,18.0,1930.0,2180.0,430.0,0.0,8.12,0.0,0.0070,0.035
