# River BC - FIXED Dec 2025. CH4/N2O in umol/L
time_s,salinity,phy1,phy2,dsi,no3,nh4,po4,o2,toc,spm,dic,at,pco2,co2,ph,hs,n2o,ch4
0.000000,0.100000,0.080000,0.040000,30.000000,10.000000,2.000000,1.000000,175.000000,142.000000,18.000000,1480.000000,1320.000000,4200.000000,0.000000,7.450000,0.000000,0.035000,0.125000
86400.000000,0.100000,0.100000,0.030000,28.000000,11.000000,2.500000,1.200000,170.000000,148.000000,19.000000,1500.000000,1340.000000,4400.000000,0.000000,7.420000,0.000000,0.038000,0.135000
172800.000000,0.100000,0.060000,0.050000,32.000000,9.000000,1.800000,0.900000,180.000000,136.000000,16.000000,1460.000000,1300.000000,4000.000000,0.000000,7.480000,0.000000,0.032000,0.115000
259200.000000,0.100000,0.120000,0.040000,35.000000,12.000000,3.000000,1.100000,168.000000,155.000000,20.000000,1520.000000,1360.000000,4600.000000,0.000000,7.400000,0.000000,0.042000,0.145000
345600.000000,0.100000,0.050000,0.030000,25.000000,8.000000,1.500000,0.800000,185.000000,130.000000,14.000000,1440.000000,1280.000000,3800.000000,0.000000,7.500000,0.000000,0.028000,0.105000
432000.000000,0.100000,0.080000,0.040000,30.000000,10.000000,2.000000,1.000000,175.000000,142.000000,18.000000,1480.000000,1320.000000,4200.000000,0.000000,7.450000,0.000000,0.035000,0.125000
518400.000000,0.100000,0.100000,0.030000,28.000000,11.000000,2.500000,1.200000,170.000000,148.000000,19.000000,1500.000000,1340.000000,4400.000000,0.000000,7.420000,0.000000,0.038000,0.135000
604800.000000,0.100000,0.060000,0.050000,32.000000,9.000000,1.800000,0.900000,180.000000,136.000000,16.000000,1460.000000,1300.000000,4000.000000,0.000000,7.480000,0.000000,0.032000,0.115000
691200.000000,0.100000,0.120000,0.040000,35.000000,12.000000,3.000000,1.100000,168.000000,155.000000,20.000000,1520.000000,1360.000000,4600.000000,0.000000,7.400000,0.000000,0.042000,0.145000
777600.000000,0.100000,0.050000,0.030000,25.000000,8.000000,1.500000,0.800000,185.000000,130.000000,14.000000,1440.000000,1280.000000,3800.000000,0.000000,7.500000,0.000000,0.028000,0.105000
864000.000000,0.100000,0.080000,0.040000,30.000000,10.000000,2.000000,1.000000,175.000000,142.000000,18.000000,1480.000000,1320.000000,4200.000000,0.000000,7.450000,0.000000,0.035000,0.125000
950400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
1036800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
1123200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
1209600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
1296000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
1382400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
1468800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
1555200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
1641600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
1728000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
1814400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
1900800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
1987200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
2073600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
2160000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
