Date,Discharge_m3s
1/1/2017,32.325
1/2/2017,32.325
1/3/2017,32.325
1/4/2017,32.325
1/5/2017,32.325
1/6/2017,32.325
1/7/2017,32.325
1/8/2017,32.325
1/9/2017,32.325
1/10/2017,32.325
1/11/2017,32.325
1/12/2017,32.325
1/13/2017,32.325
1/14/2017,32.325
1/15/2017,32.325
1/16/2017,32.325
1/17/2017,32.325
1/18/2017,32.325
1/19/2017,32.325
1/20/2017,32.325
1/21/2017,32.325
1/22/2017,32.325
1/23/2017,32.325
1/24/2017,32.325
1/25/2017,32.325
1/26/2017,32.325
1/27/2017,32.325
1/28/2017,32.325
1/29/2017,32.325
1/30/2017,32.325
1/31/2017,32.325
2/1/2017,26.485
2/2/2017,26.485
2/3/2017,26.485
2/4/2017,26.485
2/5/2017,26.485
2/6/2017,26.485
2/7/2017,26.485
2/8/2017,26.485
2/9/2017,26.485
2/10/2017,26.485
2/11/2017,26.485
2/12/2017,26.485
2/13/2017,26.485
2/14/2017,26.485
2/15/2017,26.485
2/16/2017,26.485
2/17/2017,26.485
2/18/2017,26.485
2/19/2017,26.485
2/20/2017,26.485
2/21/2017,26.485
2/22/2017,26.485
2/23/2017,26.485
2/24/2017,26.485
2/25/2017,26.485
2/26/2017,26.485
2/27/2017,26.485
2/28/2017,26.485
3/1/2017,22.3
3/2/2017,22.3
3/3/2017,22.3
3/4/2017,22.3
3/5/2017,22.3
3/6/2017,22.3
3/7/2017,22.3
3/8/2017,22.3
3/9/2017,22.3
3/10/2017,22.3
3/11/2017,22.3
3/12/2017,22.3
3/13/2017,22.3
3/14/2017,22.3
3/15/2017,22.3
3/16/2017,22.3
3/17/2017,22.3
3/18/2017,22.3
3/19/2017,22.3
3/20/2017,22.3
3/21/2017,22.3
3/22/2017,22.3
3/23/2017,22.3
3/24/2017,22.3
3/25/2017,22.3
3/26/2017,22.3
3/27/2017,22.3
3/28/2017,22.3
3/29/2017,22.3
3/30/2017,22.3
3/31/2017,22.3
4/1/2017,41.36
