DateTime,WaterLevel_m
1/1/2017 0:00,0.326
1/1/2017 1:00,1.136
1/1/2017 2:00,1.735
1/1/2017 3:00,1.938
1/1/2017 4:00,1.615
1/1/2017 5:00,0.959
1/1/2017 6:00,0.126
1/1/2017 7:00,-0.805
1/1/2017 8:00,-1.552
1/1/2017 9:00,-1.871
1/1/2017 10:00,-1.817
1/1/2017 11:00,-1.333
1/1/2017 12:00,-0.563
1/1/2017 13:00,0.183
1/1/2017 14:00,0.851
1/1/2017 15:00,1.224
1/1/2017 16:00,1.138
1/1/2017 17:00,0.715
1/1/2017 18:00,-0.052
1/1/2017 19:00,-0.871
1/1/2017 20:00,-1.444
1/1/2017 21:00,-1.827
1/1/2017 22:00,-1.722
1/1/2017 23:00,-1.25
1/2/2017 0:00,-0.398
1/2/2017 1:00,0.56
1/2/2017 2:00,1.348
1/2/2017 3:00,1.903
1/2/2017 4:00,1.942
1/2/2017 5:00,1.557
1/2/2017 6:00,0.785
1/2/2017 7:00,-0.091
1/2/2017 8:00,-1.056
1/2/2017 9:00,-1.741
1/2/2017 10:00,-1.935
1/2/2017 11:00,-1.794
1/2/2017 12:00,-1.164
1/2/2017 13:00,-0.419
1/2/2017 14:00,0.419
1/2/2017 15:00,1.077
1/2/2017 16:00,1.341
1/2/2017 17:00,1.143
1/2/2017 18:00,0.574
1/2/2017 19:00,-0.223
1/2/2017 20:00,-1.071
1/2/2017 21:00,-1.664
1/2/2017 22:00,-1.905
1/2/2017 23:00,-1.664
1/3/2017 0:00,-1.077
1/3/2017 1:00,-0.259
1/3/2017 2:00,0.749
1/3/2017 3:00,1.509
1/3/2017 4:00,1.928
1/3/2017 5:00,1.937
1/3/2017 6:00,1.467
1/3/2017 7:00,0.646
1/3/2017 8:00,-0.364
1/3/2017 9:00,-1.215
1/3/2017 10:00,-1.77
1/3/2017 11:00,-1.904
1/3/2017 12:00,-1.657
1/3/2017 13:00,-1.003
1/3/2017 14:00,-0.206
1/3/2017 15:00,0.578
1/3/2017 16:00,1.181
1/3/2017 17:00,1.359
1/3/2017 18:00,1.055
1/3/2017 19:00,0.475
1/3/2017 20:00,-0.347
1/3/2017 21:00,-1.158
1/3/2017 22:00,-1.681
1/3/2017 23:00,-1.818
1/4/2017 0:00,-1.602
1/4/2017 1:00,-0.907
1/4/2017 2:00,-0.153
1/4/2017 3:00,0.854
1/4/2017 4:00,1.541
1/4/2017 5:00,1.875
1/4/2017 6:00,1.785
1/4/2017 7:00,1.2
1/4/2017 8:00,0.436
1/4/2017 9:00,-0.459
1/4/2017 10:00,-1.217
1/4/2017 11:00,-1.763
1/4/2017 12:00,-1.845
1/4/2017 13:00,-1.496
1/4/2017 14:00,-0.798
1/4/2017 15:00,-0.023
1/4/2017 16:00,0.675
1/4/2017 17:00,1.174
1/4/2017 18:00,1.256
1/4/2017 19:00,0.98
1/4/2017 20:00,0.314
1/4/2017 21:00,-0.444
1/4/2017 22:00,-1.168
1/4/2017 23:00,-1.685
1/5/2017 0:00,-1.749
1/5/2017 1:00,-1.461
1/5/2017 2:00,-0.836
1/5/2017 3:00,-0.015
1/5/2017 4:00,0.776
1/5/2017 5:00,1.431
1/5/2017 6:00,1.709
1/5/2017 7:00,1.558
1/5/2017 8:00,1.063
1/5/2017 9:00,0.315
1/5/2017 10:00,-0.472
1/5/2017 11:00,-1.221
1/5/2017 12:00,-1.623
1/5/2017 13:00,-1.655
1/5/2017 14:00,-1.361
1/5/2017 15:00,-0.681
1/5/2017 16:00,0.051
1/5/2017 17:00,0.771
1/5/2017 18:00,1.092
1/5/2017 19:00,1.161
1/5/2017 20:00,0.848
1/5/2017 21:00,0.234
1/5/2017 22:00,-0.403
1/5/2017 23:00,-1.066
1/6/2017 0:00,-1.492
1/6/2017 1:00,-1.634
1/6/2017 2:00,-1.291
1/6/2017 3:00,-0.799
1/6/2017 4:00,0.004
1/6/2017 5:00,0.784
1/6/2017 6:00,1.234
1/6/2017 7:00,1.478
1/6/2017 8:00,1.361
1/6/2017 9:00,0.876
1/6/2017 10:00,0.163
1/6/2017 11:00,-0.52
1/6/2017 12:00,-1.159
1/6/2017 13:00,-1.453
1/6/2017 14:00,-1.494
1/6/2017 15:00,-1.091
1/6/2017 16:00,-0.596
1/6/2017 17:00,0.072
1/6/2017 18:00,0.681
1/6/2017 19:00,0.972
1/6/2017 20:00,1.058
1/6/2017 21:00,0.814
1/6/2017 22:00,0.205
1/6/2017 23:00,-0.376
1/7/2017 0:00,-0.961
1/7/2017 1:00,-1.335
1/7/2017 2:00,-1.49
1/7/2017 3:00,-1.265
1/7/2017 4:00,-0.712
1/7/2017 5:00,-0.072
1/7/2017 6:00,0.569
1/7/2017 7:00,1.055
1/7/2017 8:00,1.235
1/7/2017 9:00,1.153
1/7/2017 10:00,0.756
1/7/2017 11:00,0.137
1/7/2017 12:00,-0.421
1/7/2017 13:00,-0.99
1/7/2017 14:00,-1.335
1/7/2017 15:00,-1.277
1/7/2017 16:00,-1.032
1/7/2017 17:00,-0.475
1/7/2017 18:00,0.123
1/7/2017 19:00,0.585
1/7/2017 20:00,0.963
1/7/2017 21:00,0.996
1/7/2017 22:00,0.77
1/7/2017 23:00,0.337
1/8/2017 0:00,-0.303
1/8/2017 1:00,-0.862
1/8/2017 2:00,-1.243
1/8/2017 3:00,-1.359
1/8/2017 4:00,-1.165
1/8/2017 5:00,-0.734
1/8/2017 6:00,-0.172
1/8/2017 7:00,0.417
1/8/2017 8:00,0.837
1/8/2017 9:00,1.09
1/8/2017 10:00,0.965
1/8/2017 11:00,0.721
1/8/2017 12:00,0.148
1/8/2017 13:00,-0.456
1/8/2017 14:00,-0.933
1/8/2017 15:00,-1.153
1/8/2017 16:00,-1.174
1/8/2017 17:00,-0.88
1/8/2017 18:00,-0.424
1/8/2017 19:00,0.104
1/8/2017 20:00,0.571
1/8/2017 21:00,0.864
1/8/2017 22:00,0.955
1/8/2017 23:00,0.783
1/9/2017 0:00,0.333
1/9/2017 1:00,-0.257
1/9/2017 2:00,-0.743
1/9/2017 3:00,-1.119
1/9/2017 4:00,-1.302
1/9/2017 5:00,-1.145
1/9/2017 6:00,-0.784
1/9/2017 7:00,-0.308
1/9/2017 8:00,0.27
1/9/2017 9:00,0.701
1/9/2017 10:00,0.93
1/9/2017 11:00,0.881
1/9/2017 12:00,0.514
1/9/2017 13:00,0.064
1/9/2017 14:00,-0.407
1/9/2017 15:00,-0.841
1/9/2017 16:00,-1.084
1/9/2017 17:00,-0.972
1/9/2017 18:00,-0.805
1/9/2017 19:00,-0.332
1/9/2017 20:00,0.197
1/9/2017 21:00,0.669
1/9/2017 22:00,0.946
1/9/2017 23:00,1.032
1/10/2017 0:00,0.771
1/10/2017 1:00,0.352
1/10/2017 2:00,-0.208
1/10/2017 3:00,-0.728
1/10/2017 4:00,-1.056
1/10/2017 5:00,-1.34
1/10/2017 6:00,-1.151
1/10/2017 7:00,-0.869
1/10/2017 8:00,-0.335
1/10/2017 9:00,0.235
1/10/2017 10:00,0.619
1/10/2017 11:00,0.789
1/10/2017 12:00,0.746
1/10/2017 13:00,0.493
