Date,Discharge_m3s
1/1/2017,268.75
1/2/2017,268.75
1/3/2017,268.75
1/4/2017,268.75
1/5/2017,268.75
1/6/2017,268.75
1/7/2017,268.75
1/8/2017,268.75
1/9/2017,268.75
1/10/2017,268.75
1/11/2017,268.75
1/12/2017,268.75
1/13/2017,268.75
1/14/2017,268.75
1/15/2017,268.75
1/16/2017,268.75
1/17/2017,268.75
1/18/2017,268.75
1/19/2017,268.75
1/20/2017,268.75
1/21/2017,268.75
1/22/2017,268.75
1/23/2017,268.75
1/24/2017,268.75
1/25/2017,268.75
1/26/2017,268.75
1/27/2017,268.75
1/28/2017,268.75
1/29/2017,268.75
1/30/2017,268.75
1/31/2017,268.75
2/1/2017,204.5
2/2/2017,204.5
2/3/2017,204.5
2/4/2017,204.5
2/5/2017,204.5
2/6/2017,204.5
2/7/2017,204.5
2/8/2017,204.5
2/9/2017,204.5
2/10/2017,204.5
2/11/2017,204.5
2/12/2017,204.5
2/13/2017,204.5
2/14/2017,204.5
2/15/2017,204.5
2/16/2017,204.5
2/17/2017,204.5
2/18/2017,204.5
2/19/2017,204.5
2/20/2017,204.5
2/21/2017,204.5
2/22/2017,204.5
2/23/2017,204.5
2/24/2017,204.5
2/25/2017,204.5
2/26/2017,204.5
2/27/2017,204.5
2/28/2017,204.5
3/1/2017,361
3/2/2017,361
3/3/2017,361
3/4/2017,361
3/5/2017,361
3/6/2017,361
3/7/2017,361
3/8/2017,361
3/9/2017,361
3/10/2017,361
3/11/2017,361
3/12/2017,361
3/13/2017,361
3/14/2017,361
3/15/2017,361
3/16/2017,361
3/17/2017,361
3/18/2017,361
3/19/2017,361
3/20/2017,361
3/21/2017,361
3/22/2017,361
3/23/2017,361
3/24/2017,361
3/25/2017,361
3/26/2017,361
3/27/2017,361
3/28/2017,361
3/29/2017,361
3/30/2017,361
3/31/2017,361
4/1/2017,639.2
4/2/2017,639.2
4/3/2017,639.2
4/4/2017,639.2
4/5/2017,639.2
4/6/2017,639.2
4/7/2017,639.2
4/8/2017,639.2
4/9/2017,639.2
4/10/2017,639.2
4/11/2017,639.2
4/12/2017,639.2
4/13/2017,639.2
4/14/2017,639.2
4/15/2017,639.2
4/16/2017,639.2
4/17/2017,639.2
4/18/2017,639.2
4/19/2017,639.2
4/20/2017,639.2
4/21/2017,639.2
4/22/2017,639.2
4/23/2017,639.2
4/24/2017,639.2
4/25/2017,639.2
4/26/2017,639.2
4/27/2017,639.2
4/28/2017,639.2
4/29/2017,639.2
4/30/2017,639.2
5/1/2017,597.5
5/2/2017,597.5
5/3/2017,597.5
5/4/2017,597.5
5/5/2017,597.5
5/6/2017,597.5
5/7/2017,597.5
5/8/2017,597.5
5/9/2017,597.5
5/10/2017,597.5
5/11/2017,597.5
5/12/2017,597.5
5/13/2017,597.5
5/14/2017,597.5
5/15/2017,597.5
5/16/2017,597.5
5/17/2017,597.5
5/18/2017,597.5
5/19/2017,597.5
5/20/2017,597.5
5/21/2017,597.5
5/22/2017,597.5
5/23/2017,597.5
5/24/2017,597.5
5/25/2017,597.5
5/26/2017,597.5
5/27/2017,597.5
5/28/2017,597.5
5/29/2017,597.5
5/30/2017,597.5
5/31/2017,597.5
6/1/2017,670.4
6/2/2017,670.4
6/3/2017,670.4
6/4/2017,670.4
6/5/2017,670.4
6/6/2017,670.4
6/7/2017,670.4
6/8/2017,670.4
6/9/2017,670.4
6/10/2017,670.4
6/11/2017,670.4
6/12/2017,670.4
6/13/2017,670.4
6/14/2017,670.4
6/15/2017,670.4
6/16/2017,670.4
6/17/2017,670.4
6/18/2017,670.4
6/19/2017,670.4
6/20/2017,670.4
6/21/2017,670.4
6/22/2017,670.4
6/23/2017,670.4
6/24/2017,670.4
6/25/2017,670.4
6/26/2017,670.4
6/27/2017,670.4
6/28/2017,670.4
6/29/2017,670.4
6/30/2017,670.4
7/1/2017,1103.6
7/2/2017,1103.6
7/3/2017,1103.6
7/4/2017,1103.6
7/5/2017,1103.6
7/6/2017,1103.6
7/7/2017,1103.6
7/8/2017,1103.6
7/9/2017,1103.6
7/10/2017,1103.6
7/11/2017,1103.6
7/12/2017,1103.6
7/13/2017,1103.6
7/14/2017,1103.6
7/15/2017,1103.6
7/16/2017,1103.6
7/17/2017,1103.6
7/18/2017,1103.6
7/19/2017,1103.6
7/20/2017,1103.6
7/21/2017,1103.6
7/22/2017,1103.6
7/23/2017,1103.6
7/24/2017,1103.6
7/25/2017,1103.6
7/26/2017,1103.6
7/27/2017,1103.6
7/28/2017,1103.6
7/29/2017,1103.6
7/30/2017,1103.6
7/31/2017,1103.6
8/1/2017,1260.4
8/2/2017,1260.4
8/3/2017,1260.4
8/4/2017,1260.4
8/5/2017,1260.4
8/6/2017,1260.4
8/7/2017,1260.4
8/8/2017,1260.4
8/9/2017,1260.4
8/10/2017,1260.4
8/11/2017,1260.4
8/12/2017,1260.4
8/13/2017,1260.4
8/14/2017,1260.4
8/15/2017,1260.4
8/16/2017,1260.4
8/17/2017,1260.4
8/18/2017,1260.4
8/19/2017,1260.4
8/20/2017,1260.4
8/21/2017,1260.4
8/22/2017,1260.4
8/23/2017,1260.4
8/24/2017,1260.4
8/25/2017,1260.4
8/26/2017,1260.4
8/27/2017,1260.4
8/28/2017,1260.4
8/29/2017,1260.4
8/30/2017,1260.4
8/31/2017,1260.4
9/1/2017,1088.8
9/2/2017,1088.8
9/3/2017,1088.8
9/4/2017,1088.8
9/5/2017,1088.8
9/6/2017,1088.8
9/7/2017,1088.8
9/8/2017,1088.8
9/9/2017,1088.8
9/10/2017,1088.8
9/11/2017,1088.8
9/12/2017,1088.8
9/13/2017,1088.8
9/14/2017,1088.8
9/15/2017,1088.8
9/16/2017,1088.8
9/17/2017,1088.8
9/18/2017,1088.8
